BetweennessCentrality,ClosenessCentrality,Degree,name,selected,shared name
0.012840181,0.655172414,9,MAPK14,FALSE,MAPK14
0.113884248,0.678571429,10,ESR1,FALSE,ESR1
0.026292583,0.678571429,11,CASP3,FALSE,CASP3
0.002202476,0.575757576,6,GSK3B,FALSE,GSK3B
0,0.413043478,1,CYP1A1,FALSE,CYP1A1
0.023999814,0.703703704,11,PIK3CA,FALSE,PIK3CA
0.062837861,0.863636364,16,EGFR,FALSE,EGFR
0.026123389,0.703703704,11,MTOR,FALSE,MTOR
0.003186417,0.612903226,8,PTGS2,FALSE,PTGS2
0.015418386,0.655172414,10,CDC42,FALSE,CDC42
0.091545995,0.904761905,17,SRC,FALSE,SRC
0.069539801,0.863636364,16,AKT1,FALSE,AKT1
0.00933816,0.633333333,9,JAK2,FALSE,JAK2
0.003325654,0.59375,7,MMP2,FALSE,MMP2
0.033679316,0.730769231,12,MMP9,FALSE,MMP9
0.00519586,0.633333333,9,KDR,FALSE,KDR
0.04566762,0.76,13,BCL2,FALSE,BCL2
0.014587605,0.633333333,9,MET,FALSE,MET
0.002506266,0.612903226,7,IGF1R,FALSE,IGF1R
0.010927782,0.655172414,10,RHOA,FALSE,RHOA
